,trial_type,trial_index,time_elapsed,subject,study_id,condition,rt,view_history,response,filename,task,label,img_id
0,pavlovia,0,1813,jc93bl6n96s9etn,62bda645663933726fde6a37,21,,,,,,,
1,external-html,1,12597,jc93bl6n96s9etn,62bda645663933726fde6a37,21,10590.20000000298,,,,,,
2,instructions,2,89715,jc93bl6n96s9etn,62bda645663933726fde6a37,21,77116.39999999851,"[{""page_index"":0,""viewing_time"":5903.30000000447},{""page_index"":1,""viewing_time"":5713.0999999940395},{""page_index"":2,""viewing_time"":7286.10000000149},{""page_index"":3,""viewing_time"":11939.5},{""page_index"":4,""viewing_time"":18333.5},{""page_index"":5,""viewing_time"":14915.20000000298},{""page_index"":6,""viewing_time"":3097.39999999851},{""page_index"":7,""viewing_time"":5404.29999999702},{""page_index"":8,""viewing_time"":4522.9000000059605}]",,,,,
3,survey-multi-choice,3,98586,jc93bl6n96s9etn,62bda645663933726fde6a37,21,8864.89999999851,,"{""Q0"":""The most likely category, or categories, of an image and the associated probability of the selected categories."",""Q1"":""100 crowdsourced workers.""}",,,,
4,instructions,4,100264,jc93bl6n96s9etn,62bda645663933726fde6a37,21,1670.0,"[{""page_index"":0,""viewing_time"":1669.5}]",,,,,
5,preload,5,102329,jc93bl6n96s9etn,62bda645663933726fde6a37,21,,,,,,,
6,survey-html-form,6,149770,jc93bl6n96s9etn,62bda645663933726fde6a37,21,47434.5,,"{""classSelect"":""mostProbDeer"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_1128_Deer.png,spec_conf,Deer,1128.0
7,survey-html-form,7,191499,jc93bl6n96s9etn,62bda645663933726fde6a37,21,41721.10000000149,,"{""classSelect"":""mostProbCat"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1""}",cifar10_train_8386_Cat.png,spec_conf,Cat,8386.0
8,survey-html-form,8,233205,jc93bl6n96s9etn,62bda645663933726fde6a37,21,41695.39999999851,,"{""classSelect"":""mostProbHorse"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1""}",cifar10_train_6962_Horse.png,spec_conf,Horse,6962.0
9,survey-html-form,9,259513,jc93bl6n96s9etn,62bda645663933726fde6a37,21,26298.80000000447,,"{""classSelect"":""mostProbAutomobile"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1""}",cifar10_train_9626_Automobile.png,spec_conf,Automobile,9626.0
10,survey-html-form,10,316118,jc93bl6n96s9etn,62bda645663933726fde6a37,21,56598.0,,"{""classSelect"":""mostProbDeer"",""prob"":""75"",""classSelect2"":""secondProbDeer"",""prob2"":""25"",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_8647_Deer.png,spec_conf,Deer,8647.0
11,survey-html-form,11,362875,jc93bl6n96s9etn,62bda645663933726fde6a37,21,46748.79999999702,,"{""classSelect"":""mostProbFrog"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1"",""improbClassSelectDeer"":""1""}",cifar10_train_9555_Deer.png,spec_conf,Deer,9555.0
12,survey-html-form,12,401138,jc93bl6n96s9etn,62bda645663933726fde6a37,21,38257.89999999851,,"{""classSelect"":""mostProbDeer"",""prob"":""85"",""classSelect2"":""secondProbHorse"",""prob2"":""15"",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_8637_Deer.png,spec_conf,Deer,8637.0
13,survey-html-form,13,438912,jc93bl6n96s9etn,62bda645663933726fde6a37,21,37768.5,,"{""classSelect"":""mostProbDeer"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_4368_Deer.png,spec_conf,Deer,4368.0
14,survey-html-form,14,470011,jc93bl6n96s9etn,62bda645663933726fde6a37,21,31091.69999999553,,"{""classSelect"":""mostProbDeer"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_7084_Deer.png,spec_conf,Deer,7084.0
15,survey-html-form,15,504707,jc93bl6n96s9etn,62bda645663933726fde6a37,21,34689.5,,"{""classSelect"":""mostProbDeer"",""prob"":""100"",""classSelect2"":""secondProbNo"",""prob2"":"""",""improbClassSelectFrog"":""1"",""improbClassSelectAutomobile"":""1"",""improbClassSelectHorse"":""1"",""improbClassSelectShip"":""1"",""improbClassSelectDog"":""1"",""improbClassSelectBird"":""1"",""improbClassSelectCat"":""1"",""improbClassSelectAirplane"":""1"",""improbClassSelectTruck"":""1""}",cifar10_train_2523_Deer.png,spec_conf,Deer,2523.0
